,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
0,㕙,平,諄,tshwin,L,jùn,㕙,준,6,1
1,㕮,上,麌,pju,X,fǔ,㕮,부,4,0
2,㖃,上,厚,huw,X,hǒu,㖃,후,14,0
3,㘆,上,海,thoj,X,tái,㘆,대,5,0
4,㘱,平,談,tham,L,㘱,㘱,담,16,1
5,㙠,平,齊,'ej,L,yì,㙠,예,5,1
6,㛹,平,仙,bjien,L,pián,㛹,변,7,1
7,㜮,去,闞,lam,H,làn,㜮,남,16,0
8,㜷,平,支,mjie,L,mí,㜷,미,3,1
9,㝵,去,代,ngoj,H,dé,㝵,애,5,0
10,㟍,平,唐,lang,L,láng,㟍,낭,11,1
11,㟳,入,質,lit,E,lì,㟳,율,6,0
12,㠔,去,卦,pea,H,bài,㠔,배,5,0
13,㠹,去,怪,keaj,H,jiè,㠹,개,5,0
14,㢝,平,模,su,L,㢝,㢝,소,4,1
15,㦬,上,哿,la,X,luǒ,㦬,나,9,0
16,㦸,入,陌,kjaek,E,jǐ,㦸,극,12,0
17,㨫,平,談,lam,L,lǎn,㨫,남,16,1
18,㩧,入,覺,baewk,E,bó,㩧,박,2,0
19,㬉,上,緩,nwan,X,nuǎn,㬉,난,7,0
20,㬊,上,緩,hwan,X,huǎn,㬊,환,7,0
21,㮬,平,東,'uwng,L,㮬,㮬,옹,1,1
22,㮰,平,脂,bjij,L,bí,㮰,비,3,1
23,㲉,入,屋,khuwk,E,kài,㲉,각,1,0
24,㲲,入,怗,dep,E,dié,㲲,첩,16,0
25,㶁,入,陌,kwaek,E,guó,㶁,괵,12,0
26,㶿,入,沒,bwot,E,bó,㶿,발,6,0
27,㹠,平,魂,dwon,L,tún,㹠,돈,6,1
28,㺍,平,眞,bjin,L,㺍,㺍,빈,6,1
29,㾓,平,先,'wen,L,㾓,㾓,연,7,1
30,㾪,上,梗,srjaeng,X,shěng,㾪,성,12,0
31,㿉,平,灰,dwoj,L,túi,㿉,퇴,5,1
32,㿋,去,号,saw,H,sào,㿋,소,8,0
33,䄠,去,線,dzyen,H,shàn,䄠,선,7,0
34,䄩,入,職,yik,E,náo,䄩,익,13,0
35,䅉,去,禡,'ae,H,yà,䅉,아,10,0
36,䆿,去,祭,ngjiej,H,yì,䆿,예,5,0
37,䈻,平,模,bu,L,pú,䈻,포,4,1
38,䋏,入,鐸,dzak,E,zuò,䋏,작,11,0
39,䌨,入,曷,tshat,E,cài,䌨,채,7,0
40,䍙,平,灰,mwoj,L,méi,䍙,매,5,1
41,䍦,平,支,lje,L,lí,䍦,이,3,1
42,䍧,平,唐,tsang,L,䍧,䍧,장,11,1
43,䍽,入,錫,lek,E,lì,䍽,역,12,0
44,䎳,入,黠,ngwaet,E,wà,䎳,월,7,0
45,䒶,平,先,then,L,䒶,䒶,천,7,1
46,䔄,平,宵,yew,L,yáo,䔄,요,8,1
47,䔲,平,登,tong,L,chéng,䔲,등,13,1
48,䔿,上,混,tswon,X,jiè,䔿,준,6,0
49,䕡,平,魚,ljo,L,lǔ,䕡,여,4,1
50,䕸,平,皆,keaj,L,䕸,䕸,할,5,1
51,䖃,入,藥,yak,E,yuè,䖃,약,11,0
52,䟫,平,庚,draeng,L,䟫,䟫,쟁,12,1
53,䡾,入,曷,ngat,E,nèi,䡾,얼,7,0
54,䤙,入,錫,lek,E,lì,䤙,역,12,0
55,䨴,去,隊,dwoj,H,dùi,䨴,대,5,0
56,䪥,去,怪,heaj,H,dié,䪥,해,5,0
57,䫌,上,薺,phej,X,pǐ,䫌,비,5,0
58,䭃,上,寑,nyim,X,rěn,䭃,임,15,0
59,䭔,平,灰,twoj,L,䭔,䭔,퇴,5,1
60,䰐,平,談,lam,L,lán,䰐,남,16,1
61,䰒,平,東,muwng,L,méng,䰒,몽,1,1
62,䱥,去,祭,tsyej,H,zhí,䱥,제,5,0
63,䳏,去,霽,kwej,H,gùi,䳏,규,5,0
64,䴠,上,晧,'aw,X,yǎo,䴠,오,8,0
65,䴥,平,麻,kae,L,䴥,䴥,가,10,1
66,䴮,去,諫,sraen,H,shàn,䴮,산,7,0
67,一,入,質,'jit,E,yī,jat1,일,6,0
68,丁,平,耕,treang,L,dīng,ding1,정,12,1
69,七,入,質,tshit,E,qī,cat1,칠,6,0
70,丈,上,養,drjang,X,zhàng,zoeng6,장,11,0
71,三,平,談,sam,L,sān,saam1,삼,16,1
72,上,上,養,dzyang,X,shàng,soeng6,상,11,0
73,下,上,馬,hae,X,xià,haa6,하,10,0
74,不,平,尤,pjuw,L,bù,bat1,불,14,1
75,丏,上,銑,men,X,miǎn,min5,면,7,0
76,丐,去,泰,kaj,H,gài,koi3,개,5,0
77,丑,上,有,trhjuw,X,chǒu,cau2,축,14,0
78,且,平,魚,tsjo,L,qiě,ce2,차,4,1
79,丕,平,脂,phij,L,pī,pei1,비,3,1
80,世,去,祭,syej,H,shì,sai3,세,5,0
81,丘,平,尤,khjuw,L,qīu,jau1,구,14,1
82,丙,上,梗,pjaeng,X,bǐng,bing2,병,12,0
83,丞,平,蒸,dzying,L,chéng,sing4,승,13,1
84,両,上,養,ljang,X,liǎng,loeng2,양,11,0
85,两,上,養,ljang,X,liǎng,loeng5,양,11,0
86,並,平,清,pjieng,L,bìng,bing6,병,12,1
87,个,去,箇,ka,H,gè,go3,개,9,0
88,丫,平,麻,'ae,L,yā,aa1,아,10,1
89,中,平,東,trjuwng,L,zhōng,zung1,중,1,1
90,丰,平,東,phjuwng,L,fēng,fung1,봉,1,1
91,丱,上,梗,hwaeng,X,guàn,gwaan3,관,12,0
92,串,去,諫,kwaen,H,chuàn,cyun3,관,7,0
93,丸,平,桓,hwan,L,wán,jyun4,환,7,1
94,丹,平,寒,tan,L,dān,daan1,단,7,1
95,主,上,麌,tsyu,X,zhǔ,zyu2,주,4,0
96,丿,去,祭,yej,H,piě,pit3,별,5,0
97,乂,去,廢,ngjoj,H,yì,ngaai6,예,5,0
98,乃,上,海,noj,X,nǎi,naai5,내,5,0
99,久,上,有,kjuw,X,jǐu,gau2,구,14,0
100,么,平,蕭,'ew,L,yāo,maa1,요,8,1
101,义,去,寘,ngje,H,yì,ji6,의,3,0
102,之,平,之,tsyi,L,zhī,zi1,지,3,1
103,乍,去,禡,dzrae,H,zhà,zaa3,사,10,0
104,乎,平,模,hu,L,hū,fu4,호,4,1
105,乏,入,乏,bjop,E,fá,fat6,핍,16,0
106,乖,平,皆,kweaj,L,guāi,gwaai1,괴,5,1
107,乘,平,蒸,zying,L,chéng,sing4,승,13,1
108,乙,入,質,'it,E,yǐ,jyut3,을,6,0
109,九,上,有,kjuw,X,jǐu,gau2,구,14,0
110,乞,入,迄,khj+t,E,qǐ,hat1,걸,6,0
111,也,上,馬,yae,X,yě,jaa5,야,10,0
112,乳,上,麌,nyu,X,rǔ,jyu5,유,4,0
113,乾,平,寒,kan,L,gān,kin4,건,7,1
114,亁,平,寒,kan,L,gān,gon1,건,7,1
115,亂,去,換,lwan,H,luàn,lyun6,난,7,0
116,了,平,蕭,lew,L,le,liu5,요,8,1
117,予,平,魚,yo,L,yú,jyu4,여,4,1
118,争,平,耕,tsreang,L,zhēng,zang1,쟁,12,1
119,亊,去,志,tsri,H,shì,si6,사,3,0
120,事,去,志,tsri,H,shì,si6,사,3,0
121,二,去,至,nyij,H,èr,ji6,이,3,0
122,于,平,魚,'jo,L,yú,jyu1,우,4,1
123,云,平,文,hjun,L,yún,wan4,운,6,1
124,互,去,暮,hu,H,hù,wu6,호,4,0
125,五,上,姥,ngu,X,wǔ,ng5,오,4,0
126,井,上,靜,tsjeng,X,jǐng,zeng2,정,12,0
127,亘,去,嶝,kong,H,gèn,gang2,긍,13,0
128,亙,去,嶝,kong,H,gèn,gang2,긍,13,0
129,些,平,麻,sjae,L,xiē,se1,사,10,1
130,亞,去,禡,'ae,H,yà,aa3,아,10,0
131,亟,去,志,khi,H,jí,gik1,극,3,0
132,亡,平,陽,mjang,L,wáng,mong4,망,11,1
133,亢,平,唐,kang,L,kàng,kong3,항,11,1
134,交,平,肴,kaew,L,jiāo,gaau1,교,8,1
135,亥,上,海,hoj,X,hài,hoi6,해,5,0
136,亦,入,昔,yek,E,yì,jik6,역,12,0
137,亨,平,庚,xaeng,L,hēng,hang1,형,12,1
138,享,上,養,xjang,X,xiǎng,hoeng2,향,11,0
139,京,平,庚,kjaeng,L,jīng,ging1,경,12,1
140,亭,平,青,deng,L,tíng,ting4,정,12,1
141,亮,去,漾,ljang,H,liàng,loeng6,양,11,0
142,亳,入,鐸,bak,E,bó,bok3,박,11,0
143,亶,上,旱,tan,X,dǎn,taan2,단,7,0
144,亷,平,鹽,ljem,L,lián,lim4,염,16,1
145,亸,上,哿,ta,X,duǒ,do2,타,9,0
146,亹,平,魂,mwon,L,wěi,mei5,미,6,1
147,人,平,眞,nyin,L,rén,jan4,인,6,1
148,亾,平,陽,mjang,L,wáng,mou4,망,11,1
149,什,入,緝,dzyip,E,shí,sap6,십,15,0
150,仁,平,眞,nyin,L,rén,jan4,인,6,1
151,仃,平,青,deng,L,dīng,ding1,정,12,1
152,仄,入,職,tsrik,E,zè,zak1,측,13,0
153,仆,去,遇,phju,H,pū,fu6,부,4,0
154,仇,平,尤,dzyuw,L,chóu,sau4,구,14,1
155,今,平,侵,kim,L,jīn,gam1,금,15,1
156,介,去,怪,keaj,H,jiè,gaai3,개,5,0
157,仍,平,蒸,nying,L,réng,jing4,잉,13,1
158,仔,平,之,tsi,L,zǐ,zai2,자,3,1
159,仕,上,止,dzri,X,shì,si6,사,3,0
160,他,平,歌,tha,L,tā,taa1,타,9,1
161,仗,上,養,drjang,X,zhàng,zoeng6,장,11,0
162,付,去,遇,pju,H,fù,fu6,부,4,0
163,仙,平,仙,sjen,L,xiān,sin1,선,7,1
164,仝,平,東,duwng,L,tóng,tung4,동,1,1
165,仞,去,震,nyin,H,rèn,jan6,인,6,0
166,代,去,代,doj,H,dài,doi6,대,5,0
167,令,平,仙,ljen,L,lìng,ling6,영,7,1
168,以,上,止,yi,X,yǐ,ji5,이,3,0
169,仭,去,震,nyin,H,rèn,jan6,인,6,0
170,仰,上,養,ngjang,X,yǎng,joeng5,앙,11,0
171,仲,去,送,drjuwng,H,zhòng,zung6,중,1,0
172,件,上,獮,gjen,X,jiàn,gin6,건,7,0
173,任,平,侵,nyim,L,rèn,jam6,임,15,1
174,仿,平,唐,bang,L,fǎng,fong2,방,11,1
175,企,上,紙,khjie,X,qǐ,kei5,기,3,0
176,伉,去,宕,khang,H,kàng,kong3,항,11,0
177,伊,平,脂,'jij,L,yī,ji1,이,3,1
178,伋,入,緝,kip,E,jí,kap1,급,15,0
179,伍,上,姥,ngu,X,wǔ,ng5,오,4,0
180,伎,平,支,gjie,L,jì,gei6,기,3,1
181,伏,去,宥,bjuw,H,fú,fuk6,복,14,0
182,伐,入,月,bjot,E,fá,fat6,벌,6,0
183,休,平,尤,xjuw,L,xīu,jau1,휴,14,1
184,伯,入,陌,paek,E,bó,baak3,백,12,0
185,估,上,姥,ku,X,gū,gu2,고,4,0
186,伴,上,緩,ban,X,bàn,bun6,반,7,0
187,伶,平,青,leng,L,líng,ling4,영,12,1
188,伸,平,眞,syin,L,shēn,san1,신,6,1
189,伺,平,之,si,L,sì,zi6,사,3,1
190,伻,平,耕,pheang,L,bēng,ping1,팽,12,1
191,似,上,止,zi,X,sì,ci5,사,3,0
192,伽,平,戈,gja,L,qié,gaa1,가,9,1
193,伾,平,脂,phij,L,pī,pei1,비,3,1
194,佃,平,先,den,L,diàn,din6,전,7,1
195,但,平,寒,dan,L,dàn,daan6,단,7,1
196,佇,上,語,drjo,X,zhù,ning4,저,4,0
197,佈,去,暮,pu,H,bù,bou3,포,4,0
198,佉,平,戈,khja,L,qū,keoi1,구,9,1
199,位,去,至,hwij,H,wèi,wai6,위,3,0
200,低,平,齊,tej,L,dī,dai1,저,5,1
201,住,去,遇,drju,H,zhù,zyu6,주,4,0
202,佐,去,箇,tsa,H,zuǒ,zo3,좌,9,0
203,佑,去,宥,hjuw,H,yòu,jau6,우,14,0
204,体,上,薺,thej,X,tǐ,tai2,체,5,0
205,佔,平,鹽,tsyem,L,zhàn,zim3,점,16,1
206,何,平,歌,ha,L,hé,ho4,하,9,1
207,佗,平,歌,da,L,tuó,to4,타,9,1
208,余,平,魚,yo,L,yú,jyu4,여,4,1
209,佚,入,質,yit,E,yì,jat6,일,6,0
210,佛,入,物,bjut,E,fó,fat6,불,6,0
211,作,去,暮,tsu,H,zuò,zok3,작,4,0
212,佝,去,候,xuw,H,kòu,keoi1,구,14,0
213,佞,去,徑,neng,H,nìng,ning6,영,12,0
214,你,上,止,nri,X,nǐ,nei5,이,3,0
215,佩,去,隊,bwoj,H,pèi,pui3,패,5,0
216,佪,平,灰,hwoj,L,húi,wui4,회,5,1
217,佯,平,陽,yang,L,yáng,joeng4,양,11,1
218,佳,平,佳,kea,L,jiā,gaai1,가,5,1
219,併,平,清,pjieng,L,bìng,bing3,병,12,1
220,佺,平,仙,tshjwen,L,quán,cyun4,전,7,1
221,佻,平,蕭,thew,L,tiāo,tiu1,조,8,1
222,佼,平,肴,kaew,L,jiǎo,gaau2,교,8,1
223,佽,去,至,tshij,H,cì,ci3,차,3,0
224,佾,入,質,yit,E,yì,jat6,일,6,0
225,使,上,止,sri,X,shǐ,si2,사,3,0
226,侁,平,臻,srin,L,shēn,san1,신,6,1
227,侂,入,鐸,thak,E,tuō,tok3,탁,11,0
228,侃,上,旱,khan,X,kǎn,hon2,간,7,0
229,侄,入,質,tsyit,E,zhí,zat6,질,6,0
230,侅,平,咍,khoj,L,gāi,goi1,해,5,1
231,來,平,咍,loj,L,lái,loi4,내,5,1
232,侈,上,紙,tsyhe,X,chǐ,ci2,치,3,0
233,例,去,祭,ljej,H,lì,lai6,예,5,0
234,侍,去,志,dzyi,H,shì,si6,시,3,0
235,侏,平,虞,tsyu,L,zhū,zyu1,주,4,1
236,侑,去,宥,hjuw,H,yòu,jau6,유,14,0
237,侔,平,尤,mjuw,L,móu,mau4,모,14,1
238,侖,平,諄,lwin,L,lún,leon4,윤,6,1
239,侗,平,東,duwng,L,tōng,tung4,동,1,1
240,供,平,鍾,kjowng,L,gōng,gung1,공,1,1
241,依,平,微,'j+j,L,yī,ji1,의,3,1
242,侣,上,語,ljo,X,lv̌,leoi5,여,4,0
243,侮,上,麌,mju,X,wǔ,mou5,모,4,0
244,侯,平,侯,huw,L,hóu,hau4,후,14,1
245,侵,平,侵,tshim,L,qīn,cam1,침,15,1
246,侶,上,語,ljo,X,lv̌,leoi5,여,4,0
247,便,平,仙,bjien,L,biàn,bin6,편,7,1
248,俁,上,麌,ngju,X,yǔ,jyu5,우,4,0
249,係,去,霽,kej,H,xì,hai6,계,5,0
250,促,入,燭,tshjowk,E,cù,cuk1,촉,1,0
251,俄,平,歌,nga,L,é,ngo4,아,9,1
252,俊,去,稕,tswin,H,jùn,zeon3,준,6,0
253,俎,上,語,tsrjo,X,zǔ,zo2,조,4,0
254,俏,去,笑,tshjew,H,qiào,ciu3,소,8,0
255,俑,平,東,thuwng,L,yǒng,jung2,용,1,1
256,俗,入,燭,zjowk,E,sú,zuk6,속,1,0
257,俘,平,虞,phju,L,fú,fu1,부,4,1
258,俙,平,微,xj+j,L,xī,hei1,희,3,1
259,俚,上,止,li,X,lǐ,lei5,이,3,0
260,俛,上,獮,mjen,X,fǔ,min5,면,7,0
261,俜,平,青,pheng,L,pīng,ping1,빙,12,1
262,保,上,晧,paw,X,bǎo,bou2,보,8,0
263,俞,平,虞,yu,L,yú,jyu4,유,4,1
264,俟,平,微,gj+j,L,sì,zi6,사,3,1
265,俠,入,怗,hep,E,xiá,hap6,협,16,0
266,信,去,震,sin,H,xìn,seon3,신,6,0
267,修,平,尤,sjuw,L,xīu,sau1,수,14,1
268,俯,上,麌,pju,X,fǔ,fu2,부,4,0
269,俱,平,虞,kju,L,jù,keoi1,구,4,1
270,俳,平,皆,beaj,L,pái,paai4,배,5,1
271,俵,去,笑,pjew,H,biào,biu2,표,8,0
272,俶,入,屋,tsyhuwk,E,chù,cuk1,숙,1,0
273,俸,上,董,puwng,X,fèng,fung6,봉,1,0
274,俺,去,豔,'jem,H,ǎn,aan2,엄,16,0
275,俾,上,紙,pjie,X,bǐ,bei2,비,3,0
276,倀,平,陽,trhjang,L,chāng,coeng1,창,11,1
277,倂,上,靜,pjieng,X,bìng,bing3,병,12,0
278,倅,去,隊,tshwoj,H,cùi,ceoi3,쉬,5,0
279,倉,平,唐,tshang,L,cāng,cong1,창,11,1
280,個,去,箇,ka,H,gè,go3,개,9,0
281,倍,上,海,boj,X,bèi,pui5,배,5,0
282,倏,入,屋,syuwk,E,shū,suk1,숙,1,0
283,倐,入,屋,syuwk,E,shū,suk1,숙,1,0
284,倒,上,晧,taw,X,dǎo,dou2,도,8,0
285,倔,入,物,gjut,E,jué,gwat6,굴,6,0
286,倖,上,耿,heang,X,xìng,hang6,행,12,0
287,倘,上,蕩,thang,X,tǎng,tong2,당,11,0
288,倚,上,紙,'je,X,yǐ,ji2,의,3,0
289,倜,入,錫,thek,E,tì,tik1,척,12,0
290,借,去,禡,dzjae,H,jiè,ze3,차,10,0
291,倡,平,陽,tsyhang,L,chàng,coeng1,창,11,1
292,倢,入,葉,dzjep,E,jié,zit3,첩,16,0
293,倣,上,養,phjang,X,fǎng,fong2,방,11,0
294,倥,平,東,khuwng,L,kōng,hung1,공,1,1
295,倦,去,線,gjwen,H,juàn,gyun6,권,7,0
296,倨,去,御,kjo,H,jù,geoi3,거,4,0
297,倩,去,霰,tshen,H,qiàn,sin6,천,7,0
298,倪,平,齊,ngej,L,ní,ngai4,예,5,1
299,倫,平,諄,lwin,L,lún,leon4,윤,6,1
300,倭,平,支,'jwe,L,wēi,wai1,왜,3,1
301,值,去,志,dri,H,zhí,zik6,치,3,0
302,偃,上,阮,'jon,X,yǎn,jin2,언,6,0
303,假,上,馬,kae,X,jiǎ,gaa2,가,10,0
304,偈,去,祭,gjej,H,jié,git6,게,5,0
305,偉,上,尾,hjw+j,X,wěi,wai5,위,3,0
306,偊,上,麌,khju,X,yǔ,jyu2,우,4,0
307,偎,平,灰,'woj,L,wēi,wui1,외,5,1
308,偏,平,仙,phjien,L,piān,pin1,편,7,1
309,偓,入,覺,'aewk,E,wò,ak1,악,2,0
310,偕,平,皆,keaj,L,xié,gaai1,해,5,1
311,停,平,青,deng,L,tíng,ting4,정,12,1
312,健,去,願,gjon,H,jiàn,gin6,건,6,0
313,偪,入,屋,pjuwk,E,bī,bik1,핍,1,0
314,偲,平,之,si,L,sī,si1,시,3,1
315,側,入,職,tsrik,E,cè,zak1,측,13,0
316,偶,上,厚,nguw,X,ǒu,ngau5,우,14,0
317,偷,平,侯,thuw,L,tōu,tau1,투,14,1
318,偽,去,寘,ngjwe,H,wěi,ngai6,위,3,0
319,傀,平,灰,kwoj,L,gūi,faai3,괴,5,1
320,傁,上,厚,suw,X,sǒu,sau2,수,14,0
321,傃,去,暮,su,H,sù,sou3,소,4,0
322,傅,去,遇,pju,H,fù,fu6,부,4,0
323,傍,平,唐,bang,L,bàng,bong6,방,11,1
324,傑,入,薛,gjet,E,jié,git6,걸,7,0
325,傒,平,齊,hej,L,xī,hai4,혜,5,1
326,傔,去,㮇,khem,H,qiàn,him3,겸,16,0
327,傖,平,庚,dzraeng,L,cāng,cong1,창,12,1
328,傘,上,旱,san,X,sǎn,saan3,산,7,0
329,備,去,至,bij,H,bèi,bei6,비,3,0
330,傞,平,歌,tsha,L,suō,co1,사,9,1
331,傪,平,覃,tshom,L,cān,caam1,참,16,1
332,催,平,灰,tshwoj,L,cūi,ceoi1,최,5,1
333,傭,平,鍾,yowng,L,yōng,jung4,용,1,1
334,傯,上,董,tsuwng,X,zǒng,zung2,총,1,0
335,傲,去,号,ngaw,H,ào,ngou6,오,8,0
336,傳,平,仙,drjwen,L,chuán,cyun4,전,7,1
337,傴,上,麌,'ju,X,yǔ,jyu2,구,4,0
338,債,去,卦,tsrea,H,zhài,zaai3,채,5,0
339,傷,平,陽,syang,L,shāng,soeng1,상,11,1
340,傾,平,清,khjwieng,L,qīng,king1,경,12,1
341,僂,平,侯,luw,L,lv̌,leoi5,누,14,1
342,僅,去,震,gin,H,jǐn,gan2,근,6,0
343,僉,平,鹽,tshjem,L,qiān,cim1,첨,16,1
344,僊,平,仙,sjen,L,xiān,sin1,선,7,1
345,僎,平,諄,tswin,L,zhuàn,zaan6,선,6,1
346,像,上,養,zjang,X,xiàng,zoeng6,상,11,0
347,僑,平,宵,gjew,L,qiáo,kiu4,교,8,1
348,僕,去,遇,phju,H,pú,buk6,복,4,0
349,僖,平,之,xi,L,xī,hei1,희,3,1
350,僚,平,蕭,lew,L,liáo,liu4,요,8,1
351,僛,平,之,khi,L,qī,hei1,기,3,1
352,僝,平,山,dzrean,L,chán,saan4,잔,7,1
353,僞,去,寘,ngjwe,H,wěi,ngai6,위,3,0
354,僣,去,㮇,tsem,H,jiàn,tit3,참,16,0
355,僥,平,蕭,ngew,L,jiǎo,hiu1,요,8,1
356,僦,去,宥,tsjuw,H,jìu,zau6,추,14,0
357,僧,平,登,song,L,sēng,zang1,승,13,1
358,僬,平,宵,dzjew,L,jiāo,ziu1,초,8,1
359,僭,去,㮇,tsem,H,jiàn,cim3,참,16,0
360,僮,平,東,duwng,L,tóng,tung4,동,1,1
361,僰,入,德,bok,E,bó,baak6,북,13,0
362,僵,平,陽,kjang,L,jiāng,goeng1,강,11,1
363,價,去,怪,keaj,H,jià,gaa3,가,5,0
364,僻,入,昔,phjiek,E,pì,pik1,벽,12,0
365,僽,去,宥,dzrjuw,H,zhòu,zau3,추,14,0
366,僾,上,尾,'j+j,X,ài,oi3,애,3,0
367,儀,平,支,ngje,L,yí,ji4,의,3,1
368,儁,去,稕,tswin,H,jùn,zeon3,준,6,0
369,儂,平,冬,nowng,L,nóng,nung4,농,1,1
370,億,入,職,'ik,E,yì,jik1,억,13,0
371,儆,上,梗,kjaeng,X,jǐng,ging2,경,12,0
372,儇,平,仙,xjwien,L,xuān,hyun1,현,7,1
373,儈,去,泰,kwaj,H,kuài,kui2,쾌,5,0
374,儉,上,琰,gjem,X,jiǎn,gim6,검,16,0
375,儋,平,談,tam,L,dān,daam1,담,16,1
376,儒,平,虞,nyu,L,rú,jyu4,유,4,1
377,儔,平,尤,drjuw,L,chóu,cau4,주,14,1
378,儕,平,皆,dzreaj,L,chái,caai4,제,5,1
379,儗,上,止,ngi,X,nǐ,ji5,의,3,0
380,儜,平,耕,nreang,L,níng,ning4,영,12,1
381,償,平,陽,dzyang,L,cháng,soeng4,상,11,1
382,儡,平,灰,lwoj,L,lěi,leoi5,뇌,5,1
383,優,平,尤,'juw,L,yōu,jau1,우,14,1
384,儱,上,董,luwng,X,lǒng,lung5,농,1,0
385,儲,平,魚,drjo,L,chǔ,cyu5,저,4,1
386,儳,平,咸,dzream,L,chàn,caam3,참,16,1
387,儵,入,屋,syuwk,E,shū,suk1,숙,1,0
388,儷,去,霽,lej,H,lì,lai6,여,5,0
389,儸,平,歌,la,L,luó,lo4,나,9,1
390,儺,平,歌,na,L,nuó,no4,나,9,1
391,儻,上,蕩,thang,X,tǎng,tong2,당,11,0
392,儼,上,儼,ngjaem,X,yǎn,jim5,엄,16,0
393,兀,入,沒,ngwot,E,wù,ngat6,올,6,0
394,允,上,準,ywin,X,yǔn,wan5,윤,6,0
395,元,平,元,ngjwon,L,yuán,jyun4,원,6,1
396,兄,平,庚,xjwaeng,L,xiōng,hing1,형,12,1
397,充,平,東,tsyhuwng,L,chōng,cung1,충,1,1
398,兆,上,小,drjew,X,zhào,siu6,조,8,0
399,兇,平,鍾,xjowng,L,xiōng,hung1,흉,1,1
400,先,平,先,sen,L,xiān,sin1,선,7,1
401,光,平,唐,kwang,L,guāng,gwong1,광,11,1
402,克,入,德,khok,E,kè,hak1,극,13,0
403,免,上,獮,mjen,X,miǎn,min5,면,7,0
404,児,平,支,nye,L,ér,ji4,아,3,1
405,兒,平,支,nye,L,ér,ngai4,아,3,1
406,兔,去,暮,thu,H,tù,tou3,토,4,0
407,兕,上,旨,zij,X,sì,zi6,시,3,0
408,兖,上,獮,ywen,X,yǎn,jin2,연,7,0
409,兗,上,獮,ywen,X,yǎn,jin2,연,7,0
410,党,上,蕩,tang,X,dǎng,dong2,당,11,0
411,兜,平,侯,tuw,L,dōu,dau1,두,14,1
412,兢,平,蒸,king,L,jīng,ging1,긍,13,1
413,入,入,緝,nyip,E,rù,jap6,입,15,0
414,內,去,隊,nwoj,H,nèi,noi6,내,5,0
415,全,平,仙,dzjwen,L,quán,cyun4,전,7,1
416,兩,上,養,ljang,X,liǎng,loeng5,양,11,0
417,八,入,鎋,peat,E,bā,baat3,팔,7,0
418,公,平,東,kuwng,L,gōng,gung1,공,1,1
419,六,入,屋,ljuwk,E,lìu,luk6,육,1,0
420,兮,平,齊,hej,L,xī,hai4,혜,5,1
421,共,平,鍾,kjowng,L,gòng,gung6,공,1,1
422,兵,平,庚,pjaeng,L,bīng,bing1,병,12,1
423,其,平,之,gi,L,qí,kei4,기,3,1
424,具,去,遇,gju,H,jù,geoi6,구,4,0
425,典,上,銑,ten,X,diǎn,din2,전,7,0
426,兹,平,之,dzi,L,zī,zi1,자,3,1
427,兼,平,添,kem,L,jiān,gim1,겸,16,1
428,冀,去,至,kij,H,jì,kei3,기,3,0
429,冉,平,鹽,nyem,L,rǎn,jim5,염,16,1
430,冊,入,麥,tsrheak,E,cè,caak3,책,12,0
431,册,入,麥,tsrheak,E,cè,caak3,책,12,0
432,再,去,代,tsoj,H,zài,zoi3,재,5,0
433,冐,去,号,maw,H,mào,mou6,모,8,0
434,冒,去,号,maw,H,mào,mou6,모,8,0
435,冕,上,獮,mjen,X,miǎn,min5,면,7,0
436,冗,上,腫,nyowng,X,rǒng,jung2,용,1,0
437,冞,平,支,mjie,L,mí,mei4,미,3,1
438,冠,平,桓,kwan,L,guān,gun1,관,7,1
439,冢,上,腫,trjowng,X,zhǒng,cung2,총,1,0
440,冤,平,元,'jwon,L,yuān,jyun1,원,6,1
441,冥,平,青,meng,L,míng,ming4,명,12,1
442,冨,去,宥,pjuw,H,fù,fu3,부,14,0
443,冩,上,馬,sjae,X,xiě,se2,사,10,0
444,冪,入,錫,mek,E,mì,mik6,멱,12,0
445,冬,平,冬,towng,L,dōng,dung1,동,1,1
446,冰,平,蒸,ping,L,bīng,bing1,빙,13,1
447,冲,平,東,drjuwng,L,chōng,cung1,충,1,1
448,决,入,屑,xwet,E,jué,kyut3,결,7,0
449,况,去,漾,xjwang,H,kuàng,fong3,황,11,0
450,冶,上,馬,yae,X,yě,je5,야,10,0
451,冷,平,青,leng,L,lěng,laang5,냉,12,1
452,冽,去,祭,ljej,H,liè,lit6,열,5,0
453,净,平,耕,tsrheang,L,jìng,zing6,정,12,1
454,凂,上,賄,mwoj,X,měi,mui5,매,5,0
455,凄,平,齊,tshej,L,qī,cai1,처,5,1
456,准,上,準,tsywin,X,zhǔn,zeon2,준,6,0
457,凇,平,鍾,sjowng,L,sōng,sung1,송,1,1
458,凈,平,耕,tsrheang,L,jìng,zing6,정,12,1
459,凉,平,陽,ljang,L,liáng,loeng4,양,11,1
460,凊,去,勁,tshjeng,H,qìng,zing6,청,12,0
461,凋,平,蕭,tew,L,diāo,diu1,조,8,1
462,凌,平,蒸,ling,L,líng,ling4,능,13,1
463,凍,平,東,tuwng,L,dòng,dung3,동,1,1
464,减,上,豏,heam,X,jiǎn,gaam2,감,16,0
465,凖,上,準,tsywin,X,凖,zeon2,준,6,0
466,凘,平,支,sje,L,sī,si1,시,3,1
