,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
6880,金,平,侵,kim,L,jīn,gam1,금,15,1
6881,釘,平,青,teng,L,dīng,ding1,정,12,1
6882,釜,上,麌,bju,X,fǔ,fu2,부,4,0
6883,針,平,侵,tsyim,L,zhēn,zam1,침,15,1
6884,釡,上,麌,bju,X,fǔ,fu2,부,4,0
6885,釣,去,嘯,tew,H,diào,diu3,조,8,0
6886,釦,上,厚,khuw,X,kòu,kau3,구,14,0
6887,釧,去,線,tsyhwen,H,chuàn,cyun3,천,7,0
6888,釭,平,東,kuwng,L,gāng,gong1,공,1,1
6889,釵,平,佳,tsrhea,L,chāi,caai1,채,5,1
6890,鈆,平,鍾,tsyowng,L,yán,jyun4,연,1,1
6891,鈇,平,虞,pju,L,fū,fu1,부,4,1
6892,鈋,平,戈,ngwa,L,é,ngo4,와,9,1
6893,鈍,去,慁,dwon,H,dùn,deon6,둔,6,0
6894,鈎,平,侯,kuw,L,gōu,ngau1,구,14,1
6895,鈐,平,鹽,gjem,L,qián,kim4,검,16,1
6896,鈒,入,緝,srip,E,jí,zaap6,삽,15,0
6897,鈔,平,肴,tsrhaew,L,chāo,caau1,초,8,1
6898,鈕,上,有,nrjuw,X,nǐu,nau2,유,14,0
6899,鈞,平,諄,kjwin,L,jūn,gwan1,균,6,1
6900,鈯,入,沒,dwot,E,tú,dat6,돌,6,0
6901,鈴,平,青,leng,L,líng,ling4,영,12,1
6902,鈷,上,姥,ku,X,gǔ,gu2,고,4,0
6903,鈸,入,末,bat,E,bó,bat6,발,7,0
6904,鈿,平,先,den,L,diàn,tin4,전,7,1
6905,鉅,上,語,gjo,X,jù,geoi6,거,4,0
6906,鉆,平,鹽,gjem,L,chān,cim1,첩,16,1
6907,鉉,上,銑,hwen,X,xuàn,jyun5,현,7,0
6908,鉎,平,庚,sraeng,L,shēng,sang1,생,12,1
6909,鉏,平,魚,dzrjo,L,chú,co4,서,4,1
6910,鉗,平,鹽,gjem,L,qián,kim4,겸,16,1
6911,鉛,平,鍾,tsyowng,L,qiān,jyun4,연,1,1
6912,鉞,入,月,hjwot,E,yuè,jyut6,월,6,0
6913,鉢,入,末,pat,E,bō,but3,발,7,0
6914,鉤,平,侯,kuw,L,gōu,ngau1,구,14,1
6915,鉦,平,清,tsyeng,L,zhēng,zing1,정,12,1
6916,鉶,平,青,heng,L,xíng,jing4,형,12,1
