,char
647,勦
648,勲
649,勳
650,勵
651,勸
652,勺
653,勻
654,勾
655,勿
656,匀
657,包
658,匆
659,匈
660,匊
661,匌
662,匍
663,匏
664,匐
665,匕
666,化
667,北
668,匙
669,匜
670,匝
671,匠
672,匡
673,匣
674,匪
675,匭
676,匯
677,匱
678,匳
679,匵
680,匹
681,匼
682,匽
683,匾
684,匿
685,區
686,十
687,千
688,升
689,午
690,卉
691,半
692,卍
693,卑
694,卒
695,卓
696,協
697,单
698,南
699,博
700,卜
701,卞
702,占
703,卦
704,卧
705,卨
706,卭
707,卮
708,卯
709,印
710,危
711,即
712,却
713,卵
714,卷
715,卸
716,卹
717,卻
718,卼
719,卿
720,厄
721,厎
722,厓
723,厔
724,厖
725,厘
726,厚
727,原
728,厠
729,厥
730,厦
731,厨
732,厭
733,厮
734,厰
735,厲
736,去
737,叁
738,参
739,參
740,又
741,叉
742,及
743,友
744,反
745,収
746,叔
747,取
748,受
749,叙
750,叚
751,叛
752,叟
753,叠
754,叢
755,口
756,古
757,句
758,叨
759,叩
760,只
761,叫
762,召
763,叮
764,可
765,台
766,叱
767,史
768,右
769,叵
770,叶
771,司
772,吁
773,吃
774,各
775,吆
776,合
777,吉
778,吊
779,同
780,名
781,后
782,吏
783,吐
784,向
785,吒
786,吕
787,吚
788,君
789,吝
790,吞
791,吟
792,吠
793,否
794,吧
795,含
796,吭
797,吮
798,吳
799,吴
800,吵
801,吷
802,吸
803,吹
804,吻
805,吼
806,吽
807,吾
808,呀
809,呂
810,呆
811,呈
812,告
813,呋
814,呌
815,呑
816,呢
817,呦
818,周
819,呪
820,呱
821,味
822,呴
823,呵
824,呶
825,呷
826,呺
827,呻
828,呼
829,命
830,呿
831,咀
832,咂
833,咄
834,咆
835,咈
836,咋
837,和
838,咍
839,咎
840,咏
841,咒
842,咤
843,咥
844,咦
845,咨
846,咫
847,咬
848,咮
849,咲
850,咳
851,咸
852,咻
853,咽
854,咿
855,哀
856,品
857,哂
858,哄
859,哆
860,哇
861,哈
862,哉
863,員
864,哢
865,哥
866,哦
867,哨
868,哩
869,哭
870,哮
871,哲
872,哳
873,哺
874,哽
875,哿
876,唁
877,唄
878,唅
879,唆
880,唇
881,唎
882,唐
883,唔
884,唤
885,唧
886,唫
887,售
888,唯
889,唱
890,唳
891,唵
892,唶
893,唼
894,唾
895,啁
896,啄
897,啅
898,商
899,啇
900,啊
901,問
902,啐
903,啑
904,啓
905,啖
906,啗
907,啜
908,啝
909,啞
910,啟
911,啣
912,啻
913,啼
914,啾
915,喁
916,喂
917,喃
918,善
919,喇
920,喈
921,喉
922,喊
923,喋
924,喎
925,喏
926,喑
927,喓
928,喔
929,喘
930,喙
931,喚
932,喜
933,喝
934,喟
935,喣
936,喦
937,喧
938,喨
939,喪
940,喫
941,喬
942,喭
943,單
944,喳
945,喻
946,嗁
947,嗂
948,嗅
949,嗇
950,嗈
951,嗍
952,嗑
953,嗒
954,嗓
955,嗔
956,嗚
957,嗛
958,嗜
959,嗝
960,嗟
961,嗢
962,嗣
963,嗤
964,嗥
965,嗷
966,嗸
967,嗺
968,嗽
969,嗾
970,嘅
971,嘆
972,嘈
973,嘉
974,嘍
975,嘎
976,嘏
977,嘐
978,嘒
979,嘔
980,嘖
981,嘗
982,嘘
983,嘩
984,嘬
985,嘯
986,嘲
987,嘴
988,嘵
989,嘶
990,嘷
991,嘹
992,嘻
993,嘿
994,噀
995,噁
996,噆
997,噇
998,噉
999,噍
1000,噎
1001,噐
1002,噓
1003,噞
1004,噡
1005,噤
1006,器
1007,噩
1008,噪
1009,噫
1010,噬
1011,噭
1012,噰
1013,噲
1014,噴
1015,嚀
1016,嚄
1017,嚅
1018,嚇
1019,嚌
1020,嚎
1021,嚏
1022,嚕
1023,嚗
1024,嚘
1025,嚙
1026,嚢
1027,嚥
1028,嚦
1029,嚧
1030,嚨
1031,嚬
1032,嚭
1033,嚮
1034,嚱
1035,嚲
1036,嚴
1037,嚶
1038,嚼
1039,嚾
1040,囀
1041,囁
1042,囂
1043,囈
1044,囉
1045,囊
1046,囋
1047,囏
1048,囐
1049,囑
1050,囓
1051,囗
1052,囘
1053,囚
1054,四
1055,囝
1056,回
1057,因
1058,囤
1059,困
1060,囷
1061,囹
1062,固
1063,囿
1064,圃
1065,圄
1066,圈
1067,圉
1068,圊
1069,國
1070,圍
1071,圎
1072,圏
1073,圑
1074,園
1075,圓
1076,圖
1077,圗
1078,團
1079,圛
1080,圜
1081,圝
1082,圞
1083,土
1084,圠
1085,在
1086,圩
1087,圭
1088,圮
1089,圯
1090,地
1091,圻
1092,址
1093,坂
1094,均
1095,坊
1096,坌
1097,坍
1098,坎
1099,坏
1100,坐
1101,坑
1102,坡
1103,坤
1104,坦
1105,坨
1106,坪
1107,坯
1108,坰
1109,坱
1110,坳
1111,坵
1112,坷
1113,坻
1114,坼
1115,垂
1116,垅
1117,型
1118,垍
1119,垓
1120,垛
1121,垞
1122,垠
1123,垢
1124,垣
1125,垤
1126,垾
1127,埀
1128,埃
1129,埇
1130,埋
1131,埌
1132,城
1133,埏
1134,埒
1135,埜
1136,域
1137,埤
1138,埧
1139,埭
1140,埴
1141,埵
1142,執
1143,埸
1144,培
1145,基
1146,埽
1147,堀
1148,堁
1149,堂
1150,堅
1151,堆
1152,堇
1153,堊
1154,堕
1155,堘
1156,堙
1157,堞
1158,堠
1159,堡
1160,堤
1161,堦
1162,堧
1163,堨
1164,堪
1165,堯
1166,堰
1167,報
1168,場
1169,堵
1170,堶
1171,堽
1172,塊
1173,塋
1174,塌
1175,塍
1176,塏
1177,塑
1178,塒
1179,塓
1180,塔
1181,塗
1182,塘
1183,塚
1184,塜
1185,塞
1186,塠
1187,塢
1188,塤
1189,填
1190,塯
1191,塲
1192,塵
1193,塹
1194,塼
1195,塾
1196,塿
1197,墀
1198,境
1199,墄
1200,墅
1201,墉
1202,墊
1203,墓
1204,墙
1205,墜
1206,增
1207,墟
1208,墢
1209,墦
1210,墨
1211,墩
1212,墮
1213,墯
1214,墳
1215,墺
1216,墻
1217,墾
1218,壁
1219,壅
1220,壇
1221,壈
1222,壊
1223,壌
1224,壍
1225,壎
1226,壑
1227,壒
1228,壓
1229,壕
1230,壖
1231,壘
1232,壙
1233,壚
1234,壜
1235,壝
1236,壞
1237,壟
1238,壠
1239,壢
1240,壤
1241,壩
1242,士
1243,壬
1244,壮
1245,壯
1246,壷
1247,壹
1248,壺
1249,壻
1250,壼
1251,壽
1252,夏
1253,夐
1254,夔
1255,夕
1256,外
1257,夘
1258,夙
1259,多
1260,夜
1261,夢
1262,夤
1263,夥
1264,大
1265,天
1266,太
1267,夫
1268,夬
1269,夭
1270,央
1271,失
1272,夲
1273,夷
1274,夸
1275,夹
1276,夾
1277,奂
1278,奄
1279,奇
1280,奈
1281,奉
1282,奎
1283,奏
1284,奐
1285,契
1286,奔
1287,奕
1288,套
1289,奘
1290,奚
1291,奠
1292,奢
1293,奥
1294,奧
1295,奩
1296,奪
1297,奫
1298,奬
1299,奭
1300,奮
1301,奯
1302,女
1303,奴
1304,奸
1305,奼
1306,好
1307,妁
1308,如
1309,妃
1310,妄
1311,妆
1312,妍
1313,妒
1314,妓
1315,妖
1316,妙
1317,妝
1318,妞
1319,妣
1320,妤
1321,妥
1322,妨
1323,妬
1324,妲
1325,妳
1326,妹
1327,妻
1328,妾
1329,姁
1330,姆
1331,姊
1332,始
1333,姍
1334,姐
1335,姑
1336,姒
1337,姓
1338,委
1339,姚
1340,姜
1341,姝
1342,姢
1343,姣
1344,姤
1345,姥
1346,姦
1347,姧
1348,姨
1349,姪
1350,姬
1351,姮
1352,姱
1353,姸
1354,姹
1355,姻
1356,姿
1357,娀
1358,威
1359,娃
1360,娉
1361,娑
1362,娖
1363,娘
1364,娛
1365,娜
1366,娟
1367,娠
1368,娣
1369,娥
1370,娩
1371,娯
1372,娱
1373,娵
1374,娶
1375,娼
1376,婀
1377,婁
1378,婆
1379,婉
1380,婑
1381,婕
1382,婚
1383,婢
1384,婥
1385,婦
1386,婪
1387,婬
1388,婭
1389,婷
1390,婺
1391,婿
1392,媆
1393,媒
1394,媚
1395,媛
1396,媟
1397,媠
1398,媧
1399,媪
1400,媯
1401,媲
1402,媳
1403,媵
1404,媷
1405,媸
1406,媺
1407,媻
1408,媼
1409,媽
1410,媾
1411,媿
1412,嫁
1413,嫂
1414,嫉
1415,嫋
1416,嫌
1417,嫓
1418,嫕
1419,嫖
1420,嫗
1421,嫚
1422,嫜
1423,嫠
1424,嫡
1425,嫣
1426,嫦
1427,嫩
1428,嫫
1429,嫰
1430,嫲
1431,嫵
1432,嫺
1433,嫻
1434,嬈
1435,嬉
1436,嬋
1437,嬌
1438,嬖
1439,嬙
1440,嬛
1441,嬝
1442,嬪
1443,嬭
1444,嬰
1445,嬲
1446,嬴
1447,嬾
1448,嬿
1449,孀
1450,孃
1451,孅
1452,孌
1453,孏
1454,子
1455,孑
1456,孔
1457,孕
1458,字
1459,存
1460,孚
1461,孛
1462,孜
1463,孝
1464,孟
1465,季
1466,孤
1467,孥
1468,孩
1469,孫
1470,孰
1471,孱
1472,孳
1473,學
1474,孺
1475,孽
1476,宁
1477,宂
1478,它
1479,宄
1480,宅
1481,宇
1482,守
1483,安
1484,宋
1485,完
1486,宏
1487,宓
1488,宕
1489,宗
1490,官
1491,宙
1492,定
1493,宛
1494,宜
1495,客
1496,宣
1497,室
1498,宥
1499,宦
1500,宫
1501,宮
1502,宰
1503,害
1504,宴
1505,宵
1506,家
1507,宸
1508,容
1509,宼
1510,宿
1511,寀
1512,寂
1513,寃
1514,寄
1515,寅
1516,密
1517,寇
1518,富
1519,寐
1520,寒
1521,寓
1522,寔
1523,寕
1524,寖
1525,寘
1526,寛
1527,寜
1528,寝
1529,寞
1530,察
1531,寠
1532,寡
1533,寢
1534,寤
1535,寥
1536,實
1537,寧
1538,寨
1539,審
1540,寫
1541,寬
1542,寮
1543,寰
1544,寵
1545,寶
1546,寸
1547,寺
1548,尀
1549,封
1550,専
1551,射
1552,尅
1553,将
1554,將
1555,專
1556,尉
1557,尊
1558,尋
1559,對
1560,導
1561,小
1562,少
1563,尖
1564,尙
1565,尚
1566,尤
1567,尪
1568,尫
1569,就
1570,尵
1571,尸
1572,尹
1573,尺
1574,尻
1575,尼
1576,尾
1577,尿
1578,局
1579,屁
1580,居
1581,屆
1582,屈
1583,屋
1584,屍
1585,屎
1586,屏
1587,屐
1588,屑
1589,展
1590,屙
1591,屝
1592,属
1593,屟
1594,屠
1595,屡
1596,屢
1597,屣
1598,層
1599,履
1600,屧
1601,屨
1602,屩
1603,屬
1604,屭
1605,屯
1606,山
1607,屴
1608,屹
1609,屺
1610,屼
1611,岊
1612,岋
1613,岌
1614,岍
1615,岏
1616,岐
1617,岑
1618,岝
1619,岞
1620,岡
1621,岢
1622,岣
1623,岥
1624,岧
1625,岨
1626,岩
1627,岪
1628,岫
1629,岮
1630,岱
1631,岳
1632,岵
1633,岷
1634,岸
1635,峋
1636,峐
1637,峒
1638,峓
1639,峗
1640,峙
1641,峞
1642,峡
1643,峣
1644,峥
1645,峨
1646,峩
1647,峬
1648,峭
1649,峯
1650,峰
1651,峴
1652,島
1653,峺
1654,峻
1655,峽
1656,峿
1657,崆
1658,崇
1659,崎
1660,崏
1661,崐
1662,崑
1663,崒
1664,崔
1665,崕
1666,崖
1667,崗
1668,崘
1669,崙
1670,崚
1671,崛
1672,崟
1673,崢
1674,崤
1675,崦
1676,崧
1677,崨
1678,崩
1679,崪
1680,崫
1681,崯
1682,崱
1683,崷
1684,崿
1685,嵁
1686,嵂
1687,嵇
1688,嵊
1689,嵋
1690,嵌
1691,嵍
1692,嵎
1693,嵐
1694,嵒
1695,嵓
1696,嵜
1697,嵠
1698,嵩
1699,嵫
1700,嵬
1701,嵯
1702,嵰
1703,嵲
1704,嵳
1705,嵷
1706,嵸
1707,嶁
1708,嶂
1709,嶄
1710,嶆
1711,嶇
1712,嶒
1713,嶓
1714,嶔
1715,嶕
1716,嶙
1717,嶛
1718,嶠
1719,嶢
1720,嶤
1721,嶧
1722,嶪
1723,嶭
1724,嶮
1725,嶰
1726,嶲
1727,嶷
1728,嶸
1729,嶺
1730,嶻
1731,嶼
1732,嶽
1733,巀
1734,巂
1735,巃
1736,巇
1737,巉
1738,巋
1739,巌
1740,巍
1741,巏
1742,巑
1743,巒
1744,巓
1745,巔
1746,巖
1747,巗
1748,巘
1749,川
1750,州
1751,巡
1752,巢
1753,工
1754,左
1755,巧
1756,巨
1757,巫
1758,差
1759,己
1760,已
1761,巳
1762,巴
1763,巵
1764,巷
1765,巽
1766,巾
1767,帀
1768,市
1769,布
1770,帆
1771,帊
1772,希
1773,帑
1774,帒
1775,帔
1776,帕
1777,帖
1778,帘
1779,帙
1780,帚
1781,帛
1782,帝
1783,帟
1784,帢
1785,帥
1786,带
1787,帨
1788,帩
1789,師
1790,帬
1791,席
1792,帯
1793,帳
1794,帶
1795,帷
1796,常
1797,帽
1798,幃
1799,幄
1800,幅
1801,幈
1802,幌
1803,幐
1804,幔
1805,幕
1806,幖
1807,幗
1808,幘
1809,幙
1810,幛
1811,幞
1812,幟
1813,幡
1814,幢
1815,幣
1816,幨
1817,幩
1818,幪
1819,幫
1820,幬
1821,幮
1822,幰
1823,幱
1824,干
1825,平
1826,年
1827,并
1828,幷
