,char
5500,肥
5501,肧
5502,肩
5503,肪
5504,肯
5505,肱
5506,育
5507,肴
5508,肸
5509,肺
5510,肻
5511,胃
5512,胄
5513,胆
5514,背
5515,胎
5516,胏
5517,胐
5518,胔
5519,胖
5520,胗
5521,胙
5522,胚
5523,胛
5524,胝
5525,胞
5526,胠
5527,胡
5528,胤
5529,胥
5530,胭
5531,胯
5532,胰
5533,胲
5534,胷
5535,胸
5536,胹
5537,胼
5538,能
5539,胾
5540,脁
5541,脂
5542,脃
5543,脅
5544,脆
5545,脇
5546,脈
5547,脉
5548,脊
5549,脚
5550,脛
5551,脝
5552,脢
5553,脣
5554,脤
5555,脩
5556,脫
5557,脯
5558,脰
5559,脱
5560,脹
5561,脽
5562,脾
5563,腆
5564,腊
5565,腋
5566,腌
5567,腎
5568,腐
5569,腑
5570,腓
5571,腔
5572,腕
5573,腠
5574,腥
5575,腦
5576,腪
5577,腫
5578,腮
5579,腯
5580,腰
5581,腳
5582,腴
5583,腷
5584,腸
5585,腹
5586,腿
5587,膀
5588,膁
5589,膂
5590,膄
5591,膈
5592,膊
5593,膎
5594,膏
5595,膓
5596,膘
5597,膚
5598,膜
5599,膝
5600,膞
5601,膠
5602,膨
5603,膩
5604,膰
5605,膳
5606,膴
5607,膺
5608,膻
5609,膽
5610,膾
5611,膿
5612,臀
5613,臂
5614,臆
5615,臈
5616,臉
5617,臊
5618,臍
5619,臏
5620,臑
5621,臕
5622,臘
5623,臙
5624,臚
5625,臛
5626,臝
5627,臞
5628,臟
5629,臠
5630,臣
5631,臥
5632,臧
5633,臨
5634,自
5635,臬
5636,臭
5637,臯
5638,至
5639,致
5640,臺
5641,臻
5642,臼
5643,臾
5644,舀
5645,舁
5646,舂
5647,舃
5648,舄
5649,舅
5650,與
5651,興
5652,舉
5653,舊
5654,舌
5655,舍
5656,舎
5657,舐
5658,舒
5659,舖
5660,舘
5661,舜
5662,舞
5663,舟
5664,舠
5665,舡
5666,舩
5667,航
5668,舫
5669,般
5670,舲
5671,舳
5672,舴
5673,舵
5674,舶
5675,舷
5676,舸
5677,船
5678,舼
5679,艅
5680,艇
5681,艋
5682,艎
5683,艑
5684,艓
5685,艖
5686,艗
5687,艘
5688,艙
5689,艚
5690,艛
5691,艟
5692,艣
5693,艤
5694,艦
5695,艨
5696,艫
5697,艬
5698,艭
5699,艮
5700,良
5701,艱
5702,色
5703,艶
5704,艷
5705,艸
5706,艼
5707,艽
5708,艾
5709,芃
5710,芊
5711,芋
5712,芍
5713,芎
5714,芑
5715,芒
5716,芘
5717,芙
5718,芝
5719,芟
5720,芡
5721,芣
5722,芥
5723,芩
5724,芫
5725,芬
5726,芭
5727,芮
5728,芰
5729,花
5730,芳
5731,芷
5732,芸
5733,芹
5734,芻
5735,芼
5736,芽
5737,芾
5738,芿
5739,苑
5740,苒
5741,苓
5742,苔
5743,苕
5744,苖
5745,苗
5746,苛
5747,苜
5748,苞
5749,苟
5750,苡
5751,苣
5752,若
5753,苦
5754,苧
5755,苫
5756,苯
5757,英
5758,苴
5759,苶
5760,苹
5761,苻
5762,苽
5763,苾
5764,茀
5765,茁
5766,茂
5767,范
5768,茄
