,char
4000,牘
4001,牙
4002,牛
4003,牝
4004,牟
4005,牡
4006,牢
4007,牣
4008,牧
4009,物
4010,牯
4011,牱
4012,牲
4013,牴
4014,牷
4015,牸
4016,特
4017,牽
4018,牾
4019,犀
4020,犁
4021,犂
4022,犇
4023,犍
4024,犒
4025,犖
4026,犗
4027,犘
4028,犢
4029,犧
4030,犬
4031,犯
4032,犴
4033,状
4034,狀
4035,狂
4036,狃
4037,狄
4038,狌
4039,狎
4040,狐
4041,狖
4042,狗
4043,狘
4044,狙
4045,狠
4046,狡
4047,狥
4048,狨
4049,狩
4050,狭
4051,狴
4052,狶
4053,狷
4054,狸
4055,狹
4056,狺
4057,狻
4058,狼
4059,狽
4060,猇
4061,猊
4062,猒
4063,猖
4064,猗
4065,猘
4066,猙
4067,猛
4068,猜
4069,猝
4070,猢
4071,猥
4072,猧
4073,猨
4074,猩
4075,猪
4076,猫
4077,献
4078,猱
4079,猴
4080,猶
4081,猷
4082,猻
4083,猾
4084,猿
4085,獃
4086,獄
4087,獅
4088,獍
4089,獎
4090,獐
4091,獒
4092,獗
4093,獝
4094,獠
4095,獦
4096,獨
4097,獪
4098,獬
4099,獮
4100,獰
4101,獲
4102,獵
4103,獷
4104,獸
4105,獹
4106,獺
4107,獻
4108,獼
4109,獾
4110,玃
4111,玄
4112,玅
4113,率
4114,玉
4115,玊
4116,王
4117,玎
4118,玓
4119,玕
4120,玖
4121,玞
4122,玠
4123,玡
4124,玢
4125,玦
4126,玩
4127,玫
4128,玭
4129,玲
4130,玳
4131,玷
4132,玻
4133,玼
4134,玿
4135,珀
4136,珂
4137,珈
4138,珉
4139,珊
4140,珍
4141,珓
4142,珙
4143,珞
4144,珠
4145,珣
4146,珥
4147,珧
4148,珩
4149,珪
4150,班
4151,珮
4152,珷
4153,現
4154,琁
4155,球
4156,琅
4157,理
4158,琉
4159,琊
4160,琕
4161,琖
4162,琚
4163,琛
4164,琢
4165,琤
4166,琥
4167,琦
4168,琨
4169,琪
4170,琬
4171,琮
4172,琯
4173,琰
4174,琱
4175,琲
4176,琳
4177,琴
4178,琵
4179,琶
4180,瑀
4181,瑁
4182,瑇
4183,瑉
4184,瑒
4185,瑕
4186,瑗
4187,瑙
4188,瑚
4189,瑛
4190,瑜
4191,瑞
4192,瑟
4193,瑠
4194,瑣
4195,瑤
4196,瑩
4197,瑪
4198,瑯
4199,瑰
4200,瑱
4201,瑲
4202,瑳
4203,瑶
4204,瑽
4205,瑾
4206,瑿
4207,璀
4208,璁
4209,璃
4210,璅
4211,璆
4212,璇
4213,璈
4214,璉
4215,璋
4216,璐
4217,璘
4218,璚
4219,璜
4220,璞
4221,璠
4222,璣
4223,璧
4224,璨
4225,璩
4226,璪
4227,璫
4228,璬
4229,環
4230,璵
4231,璽
4232,璿
4233,瓅
4234,瓈
4235,瓊
4236,瓌
4237,瓏
4238,瓐
4239,瓓
4240,瓔
4241,瓖
4242,瓘
4243,瓚
4244,瓜
4245,瓞
4246,瓟
4247,瓠
4248,瓢
4249,瓣
4250,瓦
4251,瓮
4252,瓴
4253,瓶
4254,瓷
4255,瓻
4256,瓿
4257,甃
4258,甄
4259,甆
4260,甌
4261,甍
4262,甎
4263,甑
4264,甒
4265,甓
4266,甔
4267,甕
4268,甖
4269,甘
4270,甚
4271,甜
4272,甞
4273,生
4274,產
4275,産
4276,甥
4277,甦
4278,用
4279,甪
4280,甫
4281,甬
4282,甯
4283,田
4284,由
4285,甲
4286,申
4287,男
4288,甸
4289,町
4290,甽
4291,甿
4292,畀
4293,畆
4294,畈
4295,畊
4296,畋
4297,界
4298,畎
4299,畏
4300,畔
4301,留
4302,畚
4303,畛
4304,畜
4305,畝
4306,畟
4307,畢
4308,畤
4309,略
4310,畦
4311,畧
4312,畨
4313,番
4314,畫
4315,畬
4316,畮
4317,畯
4318,異
4319,畲
4320,畵
4321,當
4322,畸
4323,畹
4324,畺
4325,畿
4326,疃
4327,疆
4328,疇
4329,疉
4330,疊
4331,疋
4332,疎
4333,疏
4334,疐
4335,疑
4336,疚
4337,疣
4338,疥
4339,疫
4340,疲
4341,疳
4342,疴
4343,疵
4344,疹
4345,疼
4346,疽
4347,疾
4348,痀
4349,痁
4350,痂
4351,病
4352,痊
4353,痍
4354,痎
4355,痏
4356,痒
4357,痔
4358,痕
4359,痖
4360,痗
4361,痛
4362,痡
4363,痦
4364,痩
4365,痰
4366,痴
4367,痹
4368,痺
4369,痼
4370,痾
4371,痿
4372,瘁
4373,瘉
4374,瘏
4375,瘕
4376,瘖
4377,瘙
4378,瘞
4379,瘟
4380,瘠
4381,瘡
4382,瘢
4383,瘤
4384,瘥
4385,瘦
4386,瘧
4387,瘳
4388,瘴
4389,瘵
4390,瘻
4391,瘼
4392,療
4393,癃
4394,癊
4395,癖
4396,癘
4397,癡
4398,癢
4399,癤
4400,癩
4401,癬
4402,癭
4403,癯
4404,癰
4405,癲
4406,癸
4407,登
4408,發
4409,白
4410,百
4411,皁
4412,皂
4413,皃
4414,的
4415,皆
4416,皇
4417,皈
4418,皋
4419,皎
4420,皐
4421,皓
4422,皖
4423,皙
4424,皚
4425,皛
4426,皜
4427,皞
4428,皡
4429,皤
4430,皥
4431,皦
4432,皪
4433,皭
4434,皮
4435,皴
4436,皷
4437,皸
4438,皺
4439,盂
4440,盃
4441,盆
4442,盈
4443,益
4444,盌
4445,盍
4446,盎
4447,盒
4448,盖
4449,盗
4450,盛
4451,盜
4452,盞
4453,盟
4454,盡
4455,監
4456,盤
4457,盥
4458,盧
4459,盩
4460,盪
4461,盬
4462,盭
4463,目
4464,盱
4465,盲
4466,直
4467,相
4468,盻
4469,盼
4470,盾
4471,眀
4472,省
4473,眂
4474,眄
4475,眇
4476,眈
4477,眉
4478,眊
4479,看
4480,眎
4481,眙
4482,眚
4483,真
4484,眠
4485,眡
4486,眢
4487,眥
4488,眨
4489,眩
4490,眯
4491,眵
4492,眷
4493,眸
4494,眹
4495,眺
4496,眼
4497,眾
4498,着
4499,睂
