,char
8000,騰
8001,騶
8002,騷
8003,騾
8004,驀
8005,驂
8006,驃
8007,驄
8008,驅
8009,驆
8010,驊
8011,驌
8012,驍
8013,驎
8014,驏
8015,驔
8016,驕
8017,驗
8018,驚
8019,驛
8020,驟
8021,驢
8022,驤
8023,驥
8024,驦
8025,驩
8026,驪
8027,骨
8028,骫
8029,骭
8030,骯
8031,骰
8032,骳
8033,骷
8034,骸
8035,骹
8036,骼
8037,骾
8038,髀
8039,髁
8040,髂
8041,髆
8042,髇
8043,髏
8044,髐
8045,髑
8046,髒
8047,髓
8048,體
8049,高
8050,髙
8051,髠
8052,髡
8053,髣
8054,髦
8055,髧
8056,髩
8057,髪
8058,髫
8059,髭
8060,髮
8061,髯
8062,髴
8063,髹
8064,髻
8065,髼
8066,髽
8067,髾
8068,髿
8069,鬂
8070,鬃
8071,鬅
8072,鬆
8073,鬈
8074,鬉
8075,鬌
8076,鬍
8077,鬐
8078,鬒
8079,鬖
8080,鬘
8081,鬙
8082,鬚
8083,鬛
8084,鬟
8085,鬢
8086,鬣
8087,鬥
8088,鬧
8089,鬨
8090,鬪
8091,鬬
8092,鬭
8093,鬮
8094,鬯
8095,鬰
8096,鬱
8097,鬲
8098,鬴
8099,鬵
8100,鬷
8101,鬺
8102,鬻
8103,鬼
8104,魁
8105,魂
8106,魃
8107,魄
8108,魅
8109,魈
8110,魋
8111,魍
8112,魎
8113,魏
8114,魑
8115,魔
8116,魘
8117,魚
8118,魨
8119,魯
8120,魴
8121,鮀
8122,鮆
8123,鮎
8124,鮐
8125,鮑
8126,鮒
8127,鮓
8128,鮪
8129,鮫
8130,鮭
8131,鮮
8132,鮰
8133,鮹
8134,鯀
8135,鯁
8136,鯈
8137,鯉
8138,鯔
8139,鯖
8140,鯢
8141,鯤
8142,鯨
8143,鯪
8144,鯫
8145,鯶
8146,鯽
8147,鯿
8148,鰈
8149,鰌
8150,鰍
8151,鰐
8152,鰒
8153,鰕
8154,鰣
8155,鰥
8156,鰭
8157,鰲
8158,鰵
8159,鰷
8160,鰻
8161,鱅
8162,鱉
8163,鱍
8164,鱏
8165,鱒
8166,鱔
8167,鱖
8168,鱗
8169,鱘
8170,鱟
8171,鱠
8172,鱣
8173,鱧
8174,鱭
8175,鱷
8176,鱸
8177,鱼
8178,鲇
8179,鳀
8180,鳙
8181,鳠
8182,鳥
8183,鳧
8184,鳩
8185,鳬
8186,鳭
8187,鳯
8188,鳲
8189,鳳
8190,鳴
8191,鳶
8192,鳷
8193,鳿
8194,鴂
8195,鴃
8196,鴆
8197,鴇
8198,鴈
8199,鴉
8200,鴐
8201,鴒
