,char
6000,蕢
6001,蕣
6002,蕤
6003,蕨
6004,蕩
6005,蕪
6006,蕭
6007,蕰
6008,蕷
6009,蕺
6010,蕻
6011,蕾
6012,薄
6013,薇
6014,薈
6015,薊
6016,薌
6017,薏
6018,薑
6019,薔
6020,薖
6021,薙
6022,薛
6023,薜
6024,薝
6025,薟
6026,薤
6027,薦
6028,薧
6029,薨
6030,薩
6031,薪
6032,薫
6033,薯
6034,薰
6035,薶
6036,薹
6037,薺
6038,薾
6039,薿
6040,藁
6041,藂
6042,藉
6043,藋
6044,藍
6045,藏
6046,藐
6047,藑
6048,藕
6049,藜
6050,藝
6051,藞
6052,藟
6053,藤
6054,藥
6055,藦
6056,藨
6057,藩
6058,藪
6059,藭
6060,藳
6061,藴
6062,藶
6063,藷
6064,藹
6065,藺
6066,藻
6067,藿
6068,蘂
6069,蘃
6070,蘄
6071,蘅
6072,蘆
6073,蘇
6074,蘊
6075,蘋
6076,蘖
6077,蘗
6078,蘘
6079,蘙
6080,蘚
6081,蘞
6082,蘢
6083,蘤
6084,蘧
6085,蘩
6086,蘭
6087,蘸
6088,蘺
6089,蘼
6090,蘿
6091,虀
6092,虆
6093,虉
6094,虎
6095,虐
6096,虓
6097,虔
6098,處
6099,虗
6100,虙
6101,虚
6102,虛
6103,虜
6104,虞
6105,號
6106,虢
6107,虧
6108,虩
6109,虬
6110,虯
6111,虱
6112,虵
6113,虹
6114,虺
6115,虻
6116,蚊
6117,蚋
6118,蚌
6119,蚍
6120,蚓
6121,蚖
6122,蚡
6123,蚣
6124,蚤
6125,蚨
6126,蚩
6127,蚪
6128,蚯
6129,蚱
6130,蚴
6131,蚵
6132,蚽
6133,蚾
6134,蚿
6135,蛀
6136,蛁
6137,蛄
6138,蛆
6139,蛇
6140,蛉
6141,蛑
6142,蛙
6143,蛛
6144,蛟
6145,蛤
6146,蛩
6147,蛬
6148,蛭
6149,蛸
6150,蛹
6151,蛺
6152,蛻
6153,蛾
6154,蜀
6155,蜁
6156,蜂
6157,蜃
6158,蜆
6159,蜈
6160,蜉
6161,蜊
6162,蜋
6163,蜍
6164,蜎
6165,蜑
6166,蜒
6167,蜓
6168,蜕
6169,蜘
6170,蜚
6171,蜜
6172,蜞
6173,蜡
6174,蜢
6175,蜣
6176,蜥
6177,蜦
6178,蜧
6179,蜨
6180,蜩
6181,蜫
6182,蜮
6183,蜯
6184,蜴
6185,蜷
6186,蜺
6187,蜻
6188,蜼
6189,蜾
6190,蜿
6191,蝀
6192,蝃
6193,蝇
6194,蝉
6195,蝌
6196,蝎
6197,蝐
6198,蝕
6199,蝗
6200,蝘
6201,蝙
6202,蝟
6203,蝠
6204,蝣
6205,蝤
6206,蝥
6207,蝦
6208,蝨
6209,蝮
6210,蝱
6211,蝳
6212,蝴
6213,蝶
6214,蝸
6215,螀
6216,螂
6217,螃
6218,融
6219,螓
6220,螖
6221,螗
6222,螘
6223,螟
6224,螢
6225,螣
6226,螫
