,char
500,冰
501,冲
502,决
503,况
504,冶
505,冷
506,冽
507,净
508,凂
509,凄
510,准
511,凇
512,凈
513,凉
514,凊
515,凋
516,凌
517,凍
518,减
519,凖
520,凘
521,凛
522,凜
523,凝
524,几
525,凡
526,凭
527,凰
528,凱
529,凳
530,凴
531,凶
532,凸
533,凹
534,出
535,函
536,刀
537,刁
538,刃
539,分
540,切
541,刈
542,刊
543,刋
544,刎
545,刑
546,划
547,刓
548,刖
549,列
550,刜
551,初
552,判
553,別
554,刦
555,刧
556,利
557,刪
558,别
559,刮
560,到
561,刲
562,刳
563,制
564,刷
565,券
566,刹
567,刺
568,刻
569,刼
570,剁
571,剃
572,則
573,剉
574,削
575,剌
576,前
577,剎
578,剏
579,剔
580,剖
581,剗
582,剛
583,剜
584,剝
585,剟
586,剡
587,剥
588,剨
589,剩
590,剪
591,副
592,割
593,剳
594,剴
595,創
596,剸
597,剺
598,剽
599,剿
600,劃
601,劄
602,劇
603,劈
604,劉
605,劊
606,劌
607,劍
608,劑
609,劒
610,劓
611,劔
612,劖
613,劘
614,劚
615,力
616,功
617,加
618,劣
619,助
620,努
621,劫
622,劬
623,劭
624,劵
625,効
626,劾
627,勁
628,勃
629,勅
630,勇
631,勉
632,勍
633,勑
634,勒
635,動
636,勖
637,勗
638,勘
639,務
640,勛
641,勝
642,勞
643,募
644,勢
645,勣
646,勤
647,勦
648,勲
649,勳
650,勵
651,勸
652,勺
653,勻
654,勾
655,勿
656,匀
657,包
658,匆
659,匈
660,匊
661,匌
662,匍
663,匏
664,匐
665,匕
666,化
667,北
668,匙
669,匜
670,匝
671,匠
672,匡
673,匣
674,匪
675,匭
676,匯
677,匱
678,匳
679,匵
680,匹
681,匼
682,匽
683,匾
684,匿
685,區
686,十
687,千
688,升
689,午
690,卉
691,半
692,卍
693,卑
694,卒
695,卓
696,協
697,单
698,南
699,博
700,卜
701,卞
702,占
703,卦
704,卧
705,卨
706,卭
707,卮
708,卯
709,印
710,危
711,即
712,却
713,卵
714,卷
715,卸
716,卹
717,卻
718,卼
719,卿
720,厄
721,厎
722,厓
723,厔
724,厖
725,厘
726,厚
727,原
728,厠
729,厥
730,厦
731,厨
732,厭
733,厮
734,厰
735,厲
736,去
737,叁
738,参
739,參
740,又
741,叉
742,及
743,友
744,反
745,収
746,叔
747,取
748,受
749,叙
750,叚
751,叛
752,叟
753,叠
754,叢
755,口
756,古
757,句
758,叨
759,叩
760,只
761,叫
762,召
763,叮
764,可
765,台
766,叱
767,史
768,右
769,叵
770,叶
771,司
772,吁
773,吃
774,各
775,吆
776,合
777,吉
778,吊
779,同
780,名
781,后
782,吏
783,吐
784,向
785,吒
786,吕
787,吚
788,君
789,吝
790,吞
791,吟
792,吠
793,否
794,吧
795,含
796,吭
797,吮
798,吳
799,吴
800,吵
801,吷
802,吸
803,吹
804,吻
805,吼
806,吽
807,吾
808,呀
809,呂
810,呆
811,呈
812,告
813,呋
814,呌
815,呑
816,呢
817,呦
818,周
819,呪
820,呱
821,味
822,呴
823,呵
824,呶
825,呷
826,呺
827,呻
828,呼
829,命
830,呿
831,咀
832,咂
833,咄
834,咆
835,咈
836,咋
837,和
838,咍
839,咎
840,咏
841,咒
842,咤
843,咥
844,咦
845,咨
846,咫
847,咬
848,咮
849,咲
850,咳
851,咸
852,咻
853,咽
854,咿
855,哀
856,品
857,哂
858,哄
859,哆
860,哇
861,哈
862,哉
863,員
864,哢
865,哥
866,哦
867,哨
868,哩
869,哭
870,哮
871,哲
872,哳
873,哺
874,哽
875,哿
876,唁
877,唄
878,唅
879,唆
880,唇
881,唎
882,唐
883,唔
884,唤
885,唧
886,唫
887,售
888,唯
889,唱
890,唳
891,唵
892,唶
893,唼
894,唾
895,啁
896,啄
897,啅
898,商
899,啇
900,啊
901,問
902,啐
903,啑
904,啓
905,啖
906,啗
907,啜
908,啝
909,啞
910,啟
911,啣
912,啻
913,啼
914,啾
915,喁
916,喂
917,喃
918,善
919,喇
920,喈
921,喉
922,喊
923,喋
924,喎
925,喏
926,喑
927,喓
928,喔
929,喘
930,喙
931,喚
932,喜
933,喝
934,喟
935,喣
936,喦
937,喧
938,喨
939,喪
940,喫
941,喬
942,喭
943,單
944,喳
945,喻
946,嗁
947,嗂
948,嗅
949,嗇
950,嗈
951,嗍
952,嗑
953,嗒
954,嗓
955,嗔
956,嗚
957,嗛
958,嗜
959,嗝
960,嗟
961,嗢
962,嗣
963,嗤
964,嗥
965,嗷
966,嗸
967,嗺
968,嗽
969,嗾
970,嘅
971,嘆
972,嘈
973,嘉
974,嘍
975,嘎
976,嘏
977,嘐
978,嘒
979,嘔
980,嘖
981,嘗
982,嘘
983,嘩
984,嘬
985,嘯
986,嘲
987,嘴
988,嘵
989,嘶
990,嘷
991,嘹
992,嘻
993,嘿
994,噀
995,噁
996,噆
997,噇
998,噉
999,噍
