,char
1500,宫
1501,宮
1502,宰
1503,害
1504,宴
1505,宵
1506,家
1507,宸
1508,容
1509,宼
1510,宿
1511,寀
1512,寂
1513,寃
1514,寄
1515,寅
1516,密
1517,寇
1518,富
1519,寐
1520,寒
1521,寓
1522,寔
1523,寕
1524,寖
1525,寘
1526,寛
1527,寜
1528,寝
1529,寞
1530,察
1531,寠
1532,寡
1533,寢
1534,寤
1535,寥
1536,實
1537,寧
1538,寨
1539,審
1540,寫
1541,寬
1542,寮
1543,寰
1544,寵
1545,寶
1546,寸
1547,寺
1548,尀
1549,封
1550,専
1551,射
1552,尅
1553,将
1554,將
1555,專
1556,尉
1557,尊
1558,尋
1559,對
1560,導
1561,小
1562,少
1563,尖
1564,尙
1565,尚
1566,尤
1567,尪
1568,尫
1569,就
1570,尵
1571,尸
1572,尹
1573,尺
1574,尻
1575,尼
1576,尾
1577,尿
1578,局
1579,屁
1580,居
1581,屆
1582,屈
1583,屋
1584,屍
1585,屎
1586,屏
1587,屐
1588,屑
1589,展
1590,屙
1591,屝
1592,属
1593,屟
1594,屠
1595,屡
1596,屢
1597,屣
1598,層
1599,履
1600,屧
1601,屨
1602,屩
1603,屬
1604,屭
1605,屯
1606,山
1607,屴
1608,屹
1609,屺
1610,屼
1611,岊
1612,岋
1613,岌
1614,岍
1615,岏
1616,岐
1617,岑
1618,岝
1619,岞
1620,岡
1621,岢
1622,岣
1623,岥
1624,岧
1625,岨
1626,岩
1627,岪
1628,岫
1629,岮
1630,岱
1631,岳
1632,岵
1633,岷
1634,岸
1635,峋
1636,峐
1637,峒
1638,峓
1639,峗
1640,峙
1641,峞
1642,峡
1643,峣
1644,峥
1645,峨
1646,峩
1647,峬
1648,峭
1649,峯
1650,峰
1651,峴
1652,島
1653,峺
1654,峻
1655,峽
1656,峿
1657,崆
1658,崇
1659,崎
1660,崏
1661,崐
1662,崑
1663,崒
1664,崔
1665,崕
1666,崖
1667,崗
1668,崘
1669,崙
1670,崚
1671,崛
1672,崟
1673,崢
1674,崤
1675,崦
1676,崧
1677,崨
1678,崩
1679,崪
1680,崫
1681,崯
1682,崱
1683,崷
1684,崿
1685,嵁
1686,嵂
1687,嵇
1688,嵊
1689,嵋
1690,嵌
1691,嵍
1692,嵎
1693,嵐
1694,嵒
1695,嵓
1696,嵜
1697,嵠
1698,嵩
1699,嵫
1700,嵬
1701,嵯
1702,嵰
1703,嵲
1704,嵳
1705,嵷
1706,嵸
1707,嶁
1708,嶂
1709,嶄
1710,嶆
1711,嶇
1712,嶒
1713,嶓
1714,嶔
1715,嶕
1716,嶙
1717,嶛
1718,嶠
1719,嶢
1720,嶤
1721,嶧
1722,嶪
1723,嶭
1724,嶮
1725,嶰
1726,嶲
1727,嶷
1728,嶸
1729,嶺
1730,嶻
1731,嶼
1732,嶽
1733,巀
1734,巂
1735,巃
1736,巇
1737,巉
1738,巋
1739,巌
1740,巍
1741,巏
1742,巑
1743,巒
1744,巓
1745,巔
1746,巖
1747,巗
1748,巘
1749,川
1750,州
1751,巡
1752,巢
1753,工
1754,左
1755,巧
1756,巨
1757,巫
1758,差
1759,己
1760,已
1761,巳
1762,巴
1763,巵
1764,巷
1765,巽
1766,巾
1767,帀
1768,市
1769,布
1770,帆
1771,帊
1772,希
1773,帑
1774,帒
1775,帔
1776,帕
1777,帖
1778,帘
1779,帙
1780,帚
1781,帛
1782,帝
1783,帟
1784,帢
1785,帥
1786,带
1787,帨
1788,帩
1789,師
1790,帬
1791,席
1792,帯
1793,帳
1794,帶
1795,帷
1796,常
1797,帽
1798,幃
1799,幄
1800,幅
1801,幈
1802,幌
1803,幐
1804,幔
1805,幕
1806,幖
1807,幗
1808,幘
1809,幙
1810,幛
1811,幞
1812,幟
1813,幡
1814,幢
1815,幣
1816,幨
1817,幩
1818,幪
1819,幫
1820,幬
1821,幮
1822,幰
1823,幱
1824,干
1825,平
1826,年
1827,并
1828,幷
1829,幸
1830,幹
1831,幺
1832,幻
1833,幼
1834,幽
