,char
5000,簡
5001,簣
5002,簥
5003,簦
5004,簧
5005,簨
5006,簪
5007,簫
5008,簮
5009,簰
5010,簳
5011,簴
5012,簵
5013,簷
5014,簸
5015,簹
5016,簺
5017,簽
5018,簾
5019,簿
5020,籀
5021,籃
5022,籉
5023,籊
5024,籋
5025,籌
5026,籍
5027,籐
5028,籓
5029,籖
5030,籙
5031,籛
5032,籜
5033,籝
5034,籞
5035,籟
5036,籠
5037,籤
5038,籥
5039,籧
5040,籩
5041,籪
5042,籬
5043,籮
5044,籯
5045,籲
5046,米
5047,籸
5048,籹
5049,籺
5050,粃
5051,粉
5052,粒
5053,粔
5054,粕
5055,粗
5056,粘
5057,粞
5058,粟
5059,粢
5060,粤
5061,粥
5062,粧
5063,粱
5064,粲
5065,粳
5066,粵
5067,粹
5068,粼
5069,粽
5070,精
5071,粿
5072,糁
5073,糇
5074,糈
5075,糉
5076,糊
5077,糍
5078,糓
5079,糕
5080,糖
5081,糗
5082,糙
5083,糚
5084,糜
5085,糝
5086,糞
5087,糟
5088,糠
5089,糢
5090,糧
5091,糭
5092,糯
5093,糰
5094,糱
5095,糲
5096,糴
5097,糵
5098,糶
5099,系
5100,糾
5101,紀
5102,紂
5103,約
5104,紅
5105,紆
5106,紇
5107,紈
5108,紉
5109,紊
5110,紋
5111,納
5112,紐
5113,紓
5114,純
5115,紕
5116,紗
5117,紘
5118,紙
5119,級
5120,紛
5121,紜
5122,紞
5123,素
5124,紡
5125,索
5126,紫
5127,紬
5128,累
5129,細
5130,紱
5131,紲
5132,紳
5133,紵
5134,紹
5135,紺
5136,紼
5137,紾
5138,紿
5139,絁
5140,終
5141,絃
5142,組
5143,絅
5144,絆
5145,絇
5146,絏
5147,結
5148,絓
5149,絕
5150,絖
5151,絙
5152,絛
5153,絜
5154,絞
5155,絡
5156,絢
5157,絣
5158,給
5159,絨
5160,絪
5161,絫
5162,絮
5163,絰
5164,統
5165,絲
5166,絳
5167,絶
5168,絹
5169,絺
5170,絻
5171,綀
5172,綃
5173,綆
5174,綈
5175,綉
5176,綌
5177,綏
5178,經
5179,綘
5180,綜
5181,綠
5182,綢
5183,綣
5184,綦
5185,綪
5186,綫
5187,綬
5188,維
5189,綮
5190,綯
5191,綰
5192,綱
5193,網
5194,綳
5195,綴
5196,綵
5197,綷
5198,綸
5199,綹
5200,綺
5201,綻
5202,綽
5203,綾
5204,綿
5205,緇
5206,緉
5207,緊
5208,緋
5209,緌
5210,緎
5211,緐
5212,緑
5213,緒
5214,緗
5215,緘
5216,線
5217,緜
5218,緝
5219,締
5220,緡
5221,緣
5222,編
5223,緩
5224,緫
5225,緬
5226,緯
5227,緱
5228,緲
5229,練
5230,緶
5231,緹
5232,緻
5233,緼
5234,縂
5235,縈
5236,縉
5237,縋
5238,縐
5239,縑
5240,縕
5241,縗
5242,縚
5243,縛
5244,縝
5245,縞
5246,縟
5247,縠
5248,縢
5249,縣
5250,縦
5251,縧
5252,縩
5253,縫
5254,縭
5255,縮
5256,縯
5257,縰
5258,縱
5259,縲
5260,縳
5261,縴
5262,縵
5263,縶
5264,縷
5265,縹
5266,縻
5267,總
5268,績
5269,繁
5270,繂
5271,繃
5272,繄
5273,繅
5274,繆
5275,繇
5276,繋
5277,繐
5278,繒
5279,織
5280,繕
5281,繖
5282,繙
5283,繚
5284,繞
5285,繡
5286,繢
5287,繩
5288,繪
5289,繫
5290,繭
5291,繮
5292,繰
5293,繲
5294,繳
5295,繹
5296,繻
5297,繼
5298,繽
5299,繾
5300,繿
5301,纁
5302,纂
5303,纆
5304,纇
5305,纈
5306,纊
5307,續
5308,纍
5309,纎
5310,纏
5311,纑
5312,纒
5313,纓
5314,纔
5315,纕
5316,纖
5317,纘
5318,纚
5319,纛
5320,纜
5321,缶
5322,缷
5323,缸
5324,缹
5325,缺
5326,缽
5327,缾
5328,缿
5329,罄
5330,罅
5331,罇
5332,罋
5333,罌
5334,罍
5335,罎
5336,罏
5337,罐
5338,罔
5339,罕
5340,罘
5341,罙
5342,罛
5343,罝
5344,罟
5345,罡
5346,罣
5347,罥
5348,罦
5349,罨
5350,罩
5351,罪
5352,罫
5353,置
5354,罰
5355,署
5356,罳
5357,罵
5358,罷
5359,罹
5360,罻
5361,罽
5362,罾
5363,罿
5364,羃
5365,羅
5366,羆
5367,羇
5368,羈
5369,羊
5370,羋
5371,羌
5372,美
5373,羑
5374,羒
5375,羓
5376,羔
5377,羖
5378,羗
5379,羙
5380,羚
5381,羜
5382,羝
5383,羞
5384,羡
5385,羢
5386,羣
5387,群
5388,羨
5389,義
5390,羮
5391,羯
5392,羱
5393,羲
5394,羶
5395,羸
5396,羹
5397,羽
5398,羾
5399,羿
5400,翀
5401,翁
5402,翂
5403,翅
5404,翊
5405,翌
5406,翎
5407,翐
5408,習
5409,翔
5410,翕
5411,翛
5412,翟
5413,翠
5414,翡
5415,翣
5416,翥
5417,翦
5418,翩
5419,翫
5420,翬
5421,翮
5422,翰
5423,翱
5424,翳
5425,翶
5426,翹
5427,翺
5428,翻
5429,翼
5430,翾
5431,翿
5432,耀
5433,老
5434,考
5435,耄
5436,者
5437,耆
5438,耉
5439,耋
5440,而
5441,耍
5442,耎
5443,耐
5444,耒
5445,耔
5446,耕
5447,耗
5448,耘
5449,耙
5450,耛
5451,耜
5452,耞
5453,耡
5454,耤
5455,耦
5456,耨
5457,耰
5458,耳
5459,耶
5460,耻
5461,耽
5462,耿
5463,聃
5464,聆
5465,聊
5466,聒
5467,聖
5468,聘
5469,聚
5470,聞
5471,聨
5472,聫
5473,聯
5474,聰
5475,聱
5476,聲
5477,聳
5478,聴
5479,聵
5480,聶
5481,職
5482,聼
5483,聽
5484,聾
5485,聿
5486,肄
5487,肅
5488,肆
5489,肇
5490,肉
5491,肋
5492,肌
5493,肓
5494,肖
5495,肘
5496,肚
5497,肝
5498,股
5499,肢
