,char,tone,rime,ipa,tone_class
0,偷,平,侯,thuw,L
0,偽,去,寘B,ngjwe,H
0,傀,平,灰,kwoj,L
0,傁,上,厚,suw,X
0,傃,去,暮,su,H
0,傅,去,遇,pju,H
0,傍,平,唐,bang,L
0,傑,入,薛B,gjet,E
0,傒,平,齊,hej,L
0,傔,去,㮇,khem,H
0,傖,平,庚,dzraeng,L
0,傘,上,旱,san,X
0,備,去,至B,bij,H
0,傞,平,歌,tsha,L
0,傪,平,覃,tshom,L
0,催,平,灰,tshwoj,L
0,傭,平,鍾,yowng,L
0,傯,上,董,tsuwng,X
0,傲,去,号,ngaw,H
0,傳,平,仙,drjwen,L
0,傴,上,麌,'ju,X
0,債,去,卦,tsrea,H
0,傷,平,陽,syang,L
0,傾,平,清A,khjwieng,L
0,僂,平,侯,luw,L
0,僅,去,震B,gin,H
0,僉,平,鹽,tshjem,L
0,僊,平,仙,sjen,L
0,僎,平,諄,tswin,L
0,像,上,養,zjang,X
0,僑,平,宵B,gjew,L
0,僕,去,遇,phju,H
0,僖,平,之,xi,L
0,僚,平,蕭,lew,L
0,僛,平,之,khi,L
0,僝,平,山,dzrean,L
0,僞,去,寘B,ngjwe,H
0,僣,去,㮇,tsem,H
0,僥,平,蕭,ngew,L
0,僦,去,宥,tsjuw,H
0,僧,平,登,song,L
0,僬,平,宵,dzjew,L
0,僭,去,㮇,tsem,H
0,僮,平,東,duwng,L
0,僰,入,德,bok,E
0,僵,平,陽,kjang,L
0,價,去,怪,keaj,H
0,僻,入,昔A,phjiek,E
0,僽,去,宥,dzrjuw,H
0,僾,上,尾,'j+j,X
0,儀,平,支B,ngje,L
0,儁,去,稕,tswin,H
0,儂,平,冬,nowng,L
0,億,入,職,'ik,E
0,儆,上,梗,kjaeng,X
0,儇,平,仙A,xjwien,L
0,儈,去,泰,kwaj,H
0,儉,上,琰B,gjem,X
0,儋,平,談,tam,L
0,儒,平,虞,nyu,L
0,儔,平,尤,drjuw,L
0,儕,平,皆,dzreaj,L
0,儗,上,止,ngi,X
0,儘,,,,
0,儜,平,耕,nreang,L
0,償,平,陽,dzyang,L
0,儡,平,灰,lwoj,L
0,優,平,尤,'juw,L
0,儱,上,董,luwng,X
0,儲,平,魚,drjo,L
0,儳,平,咸,dzream,L
0,儵,入,屋,syuwk,E
0,儷,去,霽,lej,H
0,儸,平,歌,la,L
0,儺,平,歌,na,L
0,儻,上,蕩,thang,X
0,儼,上,儼,ngjaem,X
0,兀,入,沒,ngwot,E
0,允,上,準,ywin,X
0,元,平,元,ngjwon,L
0,兄,平,庚,xjwaeng,L
0,充,平,東,tsyhuwng,L
0,兆,上,小,drjew,X
0,兇,平,鍾,xjowng,L
0,先,平,先,sen,L
0,光,平,唐,kwang,L
0,克,入,德,khok,E
0,兌,,,,
0,免,上,獮B,mjen,X
0,児,平,支,nye,L
0,兑,,,,
0,兒,平,支,nye,L
0,兔,去,暮,thu,H
0,兕,上,旨,zij,X
0,兖,上,獮,ywen,X
0,兗,上,獮,ywen,X
0,党,上,蕩,tang,X
0,兜,平,侯,tuw,L
0,兢,平,蒸,king,L
0,入,入,緝,nyip,E
0,內,去,隊,nwoj,H
0,全,平,仙,dzjwen,L
0,兩,上,養,ljang,X
0,八,入,鎋,peat,E
0,公,平,東,kuwng,L
0,六,入,屋,ljuwk,E
0,兮,平,齊,hej,L
0,共,平,鍾,kjowng,L
0,兵,平,庚,pjaeng,L
0,其,平,之,gi,L
0,具,去,遇,gju,H
0,典,上,銑,ten,X
0,兹,平,之,dzi,L
0,兼,平,添,kem,L
0,冀,去,至B,kij,H
0,冉,平,鹽,nyem,L
0,冊,入,麥,tsrheak,E
0,册,入,麥,tsrheak,E
0,再,去,代,tsoj,H
0,冏,,,,
0,冐,去,号,maw,H
0,冒,去,号,maw,H
0,冕,上,獮B,mjen,X
0,冗,上,腫,nyowng,X
0,冞,平,支A,mjie,L
0,冠,平,桓,kwan,L
0,冢,上,腫,trjowng,X
0,冤,平,元,'jwon,L
0,冥,平,青,meng,L
0,冨,去,宥,pjuw,H
0,冩,上,馬,sjae,X
0,冪,入,錫,mek,E
0,冬,平,冬,towng,L
